,NAME,ADDRESS,OPEN_YEAR_ROUND,HANDICAP_ACCESSIBLE,LAT,LNG,LAT1,LNG1,indicator,pro,add,add1
253,General Douglas MacArthur Park,East 49 Street & East River Drive,Yes,Not Available,-29.6818257,152.9290503,25.8671713,-80.2711956,,12954.03976,"General Douglas MacArthur Park, Grafton NSW 2460, Australia","E 49th St, Hialeah, FL, USA"
254,Hamilton Fish Park (Recreation Center),Between Easton Houston & Stanton streets,Yes,Not Available,NA,NA,29.7604267,-95.3698028,,NA,NA,"Houston, TX, USA"
255,Hansborough Recreation Center,35 West 134 Street,Yes,No,NA,NA,35.3343358,-97.5128357,,NA,NA,"35 SW 134th St, Oklahoma City, OK 73170, USA"
256,Happy Warrior Playground,West 98 Street & Amsterdam Aveue,Yes,No,NA,NA,44.8263946,-93.3188017,,NA,NA,"W 98th St, Bloomington, MN, USA"
257,Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,Yes,Yes,NA,NA,40.4554989,-94.1199107,,NA,NA,"W 180th St, Missouri, USA"
258,Highbridge Park (Recreation Center),"West 155 & Dyckman streets, Edgecombe & Amsterdam avenues",Yes,Not Available,40.6419877,-74.9132045,NA,NA,,NA,"Gebhardt Field at Clinton Community Center Park, Halstead St, Clinton, NJ 08809, USA","155, Costa Rica"
259,Highbridge Park (Wallenberg Playground),West 188 Street & Amsterdam Avenue,Yes,Yes,NA,NA,NA,NA,,NA,NA,"188th St, Torrance, CA 90504, USA"
260,Highbridge Park (Wallenberg Playground),West 189 St & Amsterdam Ave,Yes,Yes,NA,NA,NA,NA,,NA,NA,NA
261,Holcombe Rucker,"West 155 St, 8 Ave to Harlem River Drive",Yes,No,45.2242908,-91.1172986,40.8280552,-73.9346918,,75.53878771,"Holcombe, WI 54745, USA","Harlem River Dr, New York, NY, USA"
262,Howard Bennett Playground,"West 135 to West 136 streets, Lenox to 5 avenues",Yes,Not Available,40.8136794,-73.9387312,NA,NA,1,NA,"Howard Bennett Playground, 32 W 136th St, New York, NY 10037, USA",NA
263,Inwoood Hill Park (Nature Center),Gaelic Field and Area around Salt Marsh West of Indian Road (at 218th St),Yes,No,NA,NA,NA,NA,,NA,NA,NA
264,Inwood Hill Park (Payson Playground),Payson & Dyckman streets,Yes,No,40.8677145,-73.9212019,34.2308684,-111.3251355,,248.2441508,"Inwood, New York, NY, USA","Payson, AZ 85541, USA"
265,Inwood Hill Park (Tennis Courts),Tennis courts & ballfields along Seaman Avenue from 207th Street to 214th Street,Yes,No,40.8677145,-73.9212019,37.2905087,-76.7298653,,10.047167,"Inwood, New York, NY, USA","Tennis Ct, Williamsburg, VA 23185, USA"
266,J. Hood Wright Park,"Ft. Washington & Haven avenues, West 173 St",Yes,Yes,NA,NA,NA,NA,,NA,"J Hood Wright Park, New York, NY 10033, USA","Fort Washington, MD, USA"
267,Jackie Robinson Park,West 149 Street & Bradhurst Avenue,Yes,No,NA,NA,NA,NA,,NA,"Jackie Robinson Park, 85 Bradhurst Ave, New York, NY 10030, USA",NA
268,Jackie Robinson Park (Playground 152 CLII),West 152 & Bradhurst Avenue,Yes,No,NA,NA,NA,NA,,NA,NA,NA
269,Jackie Robinson Park (Rec Center),"Bradhurst & Edgecombe avenues, West 145 to West 155 streets",Yes,Not Available,NA,NA,NA,NA,,NA,NA,"Bradhurst Ave, New York, USA"
270,Jacob Schiff Playground,"Amsterdam Avenue, West 136 Street",Yes,No,NA,NA,40.8174777,-73.946736,2,NA,NA,"W 136th St, New York, NY, USA"
271,John Jay Park & Pool,East 76-East 78 streets & Cherokee Place,Yes,No,40.7693053,-73.9493916,38.979234,-94.439631,1,36.67898948,"John Jay Park, E 76 St. To E 78 St. FDR Drive, New York, NY 10075, USA","E 78th Terrace & E 76th Terrace, Kansas City, MO 64138, USA"
272,James J. Walker Park (Carmine Rec Center),"Hudson, Leroy, Clarkson streets, 7 ave",Yes,No,NA,NA,NA,NA,,NA,NA,NA
273,Little Flower Playground,Madison Street opposite Jefferson Street,Yes,Yes,40.7123939,-73.9884206,43.0730517,-89.4012302,1,36.3843692,"Little Flower Playground, New York, NY 10002, USA","Madison, WI, USA"
274,Marcus Garvey Park (Pelham Fritz Recreation Center),18 Mount Morris Park West,Yes,No,NA,NA,40.8050093,-73.9448633,,NA,NA,"18 Mt Morris Park W, New York, NY 10027, USA"
275,Marcus Garvey Park (pool),"Madison Avenue, East 120 to East 124",Yes,Not Available,NA,NA,43.6728093,-79.4052216,,NA,NA,NA
276,Martin Luther King Houses,"Lenox ave, west 113 to west 114 streets",Yes,No,40.6968447,-73.949496,38.6727119,-90.2934383,,33.08230969,NA,NA
277,May Matthews Playground,West 45 St between 9 & 10 avenues,Yes,No,NA,NA,29.8331559,31.3529387,,NA,NA,"Street 45, Cairo Governorate, Egypt"
278,McCaffrey Playground,"West 43 St, 8 & 9 avenues",Yes,No,40.758985,-73.9913589,38.431024,-86.941794,1,30.14810785,"McCaffrey Playground, W 43rd St, New York, NY 10036, USA","W 43rd St, Jasper, IN 47546, USA"
279,McKinley Playground,"Ave A, East 3-East 4 streets",Yes,No,43.0224445,-88.001753,47.6532648,-117.3469896,,135.8925174,"McKinley Park, West Allis, WI 53214, USA","E 4th Ave & E 3rd Ave, Spokane, WA 99202, USA"
280,Morningside Park,West 123 St & Morningside ave,Yes,Yes,33.9596334,-118.3286614,41.6661463,-87.8912235,,234.5665078,"Morningside Park, Inglewood, CA, USA","W 123rd St, Palos Park, IL 60464, USA"
281,Morningside Park,"Athletic Fields and Lawns from 114th St to 110th St along Manhattan Ave, East of Upper Path",Yes,Not Available,33.9596334,-118.3286614,NA,NA,,NA,"Morningside Park, Inglewood, CA, USA",NA
282,Morningside Playground,West 117 St & Morningside Ave,Yes,No,42.4292117,-82.9230744,41.4675749,-81.7687675,,1.110023994,"Playground, Harper Woods, MI 48225, USA","W 117th St, Cleveland, OH, USA"
283,Msgnr. Kett,West 204 St & Nagle Ave,Yes,No,NA,NA,33.8456017,-118.2992222,,NA,NA,"W 204th St, Torrance, CA, USA"
284,Orville & Wilbur Playground,West 156 St & St. Nicholas Avenue,Yes,No,NA,NA,NA,NA,,NA,NA,NA
285,Playground 70,West End Avenue & West 70 Street,Yes,Yes,NA,NA,NA,NA,,NA,"70 Playground, Leeds, West Yorkshire LS12, UK","West End Ave, Nashville, TN, USA"
286,Playground 96 (XCVI),"2 Avenue, East 96 to East 97 Street",Yes,No,NA,NA,NA,NA,,NA,NA,"Av. B-2, 96 - St. Aeroporto, GuaraÌ_ - TO, 77700-000, Brazil"
287,PS 155 Playground,"East 117 to East 118 Streets, 1 to 2 avenues",Yes,Not Available,NA,NA,NA,NA,,NA,NA,NA
288,Renaissance Playground,"West 144 Street, between 7 & 8 avenues",Yes,No,42.4292117,-82.9230744,29.839422,31.3384822,,1438.528968,"Playground, Harper Woods, MI 48225, USA","Street 7, Cairo Governorate, Egypt"
289,Riverside Park (Boat Basin),"Riverside Drive to Hudson River, West 59th St to Clair Place",Yes,Not Available,33.9533487,-117.3961564,40.8158821,-73.9623705,,298.0658064,"Riverside, CA, USA","Riverside Dr, New York, NY, USA"
290,Riverside Park (CafŽ),"105th St, next to Henry Hudson Parkway",Yes,Yes,NA,NA,48.8632856,-99.622883,,NA,"Robert Bendheim Playground, 1184 5th Ave, New York, NY 10029, USA","100th St NE & 5th Ave NE, Rolla, ND 58367, USA"
291,Riverside Park (Claremont),West 124 St & Riverside Drive,Yes,Not Available,43.3747203,-72.3346279,43.3294489,-85.9196777,,0.615014224,"Riverside Park, 43 Washington St, Claremont, NH 03743, USA","W 124th St, Grant, MI 49327, USA"
292,Riverside Park (Classic Playground),72nd to 79th streets between Hudson River and Henry Hudson Parkway,Yes,No,33.9533487,-117.3961564,NA,NA,,NA,"Riverside, CA, USA",NA
293,Riverside Park (Dinosaur Playground),West 97 St & Riverside Drive,Yes,No,33.9533487,-117.3961564,41.7166075,-87.7321699,,230.2892042,"Riverside, CA, USA","W 97th St, Illinois, USA"
294,Rverside Park (Hippo Playground),West 91 St & Riverside Drive,Yes,No,NA,NA,41.7270733,-87.756897,,NA,NA,"W 91st St, Illinois, USA"
295,Riverside Park (Neufeld Playground),West 76 St & Riverside Drive,Yes,No,33.9533487,-117.3961564,43.8501819,-85.8749985,,311.959642,"Riverside, CA, USA","W 76th St, Baldwin, MI 49304, USA"
296,Riverside Park (River Run Playground),West 83 St & Riverside Drive,Yes,No,40.0560835,-83.0842436,38.9780838,-94.9017482,,12.73926641,"Playground, Stonehaven Pl, Upper Arlington, OH 43220, USA","W 83rd St, Kansas, USA"
297,Riverside Park (Riverbank Playground),West 142 Street & Riverside Drive,Yes,No,33.9533487,-117.3961564,41.6370323,-87.6415624,,228.6248859,"Riverside, CA, USA","W 142nd St, Thornton Township, IL, USA"
298,Riverside Park (Ten Mile River Playground),West 148 St & Hudson River,Yes,Not Available,33.9533487,-117.3961564,41.6208231,-87.6681095,,227.9390386,"Riverside, CA, USA","W 148th St, Harvey, IL 60426, USA"
299,Riverside Park (Tennis Courts),Riverside Drive & West 96th Street,Yes,Not Available,39.1510196,-94.5833899,40.8158821,-73.9623705,,34.33116191,"Tennis Ct, North Kansas City, MO 64116, USA","Riverside Dr, New York, NY, USA"
300,Robert Moses Playground,"1 Ave, East 41 to East 42 St",Yes,No,40.7480467,-73.9692285,-10.3345449,-48.2997164,,1311.265203,"Robert Moses Playground, E 42nd St, New York, NY 10016, USA","Av. P 1, 41 - Jardim Santa Barbara, Palmas - TO, 77060-344, Brazil"
301,Roger Morris Park (Morris Jumel Mansion),"Jumel Terrace to Edgecombe Ave, West 160 to West 162 St",Yes,No,NA,NA,NA,NA,,NA,NA,NA
302,Sara D. Roosevelt Park,East Houston St to Canal St,Yes,Yes,NA,NA,NA,NA,,NA,"Sara D. Roosevelt Park, New York, NY 10002, USA","Houston, TX, USA"
303,Sheltering Arms Park,"West 129 St, Amsterdam Ave",Yes,No,NA,NA,NA,NA,,NA,NA,"129 Amsterdam Ave, New York, NY 10023, USA"
304,Sheltering Arms Park (Pool),"West 129 St, Amsterdam Ave",Yes,No,NA,NA,NA,NA,,NA,NA,"129 Amsterdam Ave, New York, NY 10023, USA"
305,Sol Bloom Playground,"Columbus Ave, West 91 to West 92 St, Central Park West",Yes,No,NA,NA,NA,NA,,NA,"Sol Bloom Playground, W 92nd St, New York, NY 10025, USA","91st Ave NW, Columbus, ND 58727, USA"
306,Sol Lain Playground,"Broadway, Henry St, Samuel Dickstein Place",Yes,No,40.7143044,-73.9839212,NA,NA,1,NA,"Sol Lain Playground, Henry St, New York, NY 10002, USA",NA
307,St Nicholas Park South,West 129 & 7 Ave,Yes,No,52.3502541,-7.4119039,43.6118917,-112.1298471,,915.0633375,"St Nicholas Park, Carrick-On-Suir, Co. Tipperary, Ireland","W 129 N, Idaho Falls, ID 83402, USA"
308,St Nicholas Park,West 133 St & St Nicholas Ave,Yes,No,52.3501991,-7.4113008,38.8257134,-95.8199323,,1195.681272,"St Nicholas Park, Carrick-On-Suir, Co. Tipperary, Ireland","W 133rd St, Kansas, USA"
309,St Nicholas Park,West 129 St & St Nicholas Terrace,Yes,No,52.3501991,-7.4113008,38.8923642,-94.7119418,,1174.877613,"St Nicholas Park, Carrick-On-Suir, Co. Tipperary, Ireland","W 129th St, Overland Park, KS 66213, USA"
310,St Nicholas Park (Arlington Edinboro Playground),West 140 St & St Nicholas Ave,Yes,No,NA,NA,40.5150292,-93.99842,,NA,NA,"W 140th St, Eagleville, MO 64442, USA"
311,St Vartan Park,"East 35-East 36 St, between 1 & 2 avenues",Yes,Yes,40.7449676,-73.9736364,29.8894662,31.3071263,1,1142.875467,"St Vartan's Park, E 335 Street, New York, NY 10016, USA","Street 35, Monshaat Nasir, Qism Helwan, Cairo Governorate, Egypt"
312,Stanley Isaacs,East 96-97 Streets & FDR Drive,Yes,Yes,-36.3080978,146.846544,36.0234368,-95.8724539,,17556.23759,"Isaacs Ave, Yackandandah VIC 3749, Australia","E 97th St & E 96th St, Tulsa, OK 74133, USA"
313,Tecumseh Playground,West 77 St & Amsterdam Ave,Yes,No,40.7817253,-73.978687,41.7536803,-87.6872304,1,13.3240873,"Tecumseh Playground, Amsterdam Ave, New York, NY 10024, USA","W 77th St, Chicago, IL, USA"
314,Thomas Jefferson Park,"1 Ave to FDR Drive, East 111 to East 114 Streets",Yes,Not Available,30.327798,-81.7879294,NA,NA,,NA,"Thomas Jefferson Park, 320 Jackson Ave N, Jacksonville, FL 32220, USA",NA
315,Tompkins Square,"Avenues A to B, East 7 to East 10 St",Yes,Not Available,28.5753447,-81.2795925,NA,NA,,NA,"Tompkins Square, Orlando, FL 32807, USA",NA
316,Union Square Park,"Broadway to 4 Avenue, East 14 Street to East 17 streets",Yes,Not Available,42.3796536,-71.0956018,NA,NA,,NA,"Union Square, Somerville, MA 02143, USA",NA
317,Vesuvio Playground,Spring & Thompson Streets,Yes,Yes,40.725367,-74.0025609,36.4214066,-116.4221616,1,182.5722816,"Vesuvio Playground, Thompson St, New York, NY 10012, USA","Spring, Amargosa Valley, NV 89020, USA"
318,Wagner Pool,East 124 Street between 1 & 2 Ave,Yes,No,NA,NA,32.9744973,-91.7396503,,NA,NA,"Between Rd, 1, LA, USA"
319,West 59th St Recreation Center & Pool,"West 59 to West 60 St, Amsterdam to West End Ave",Yes,Not Available,37.440889,-122.154433,NA,NA,,NA,"Lane 59 E, Palo Alto, CA 94301, USA",NA
320,100% Playground,"Glenwood Road, East 100 & East 101 Streets",Yes,No,NA,NA,NA,NA,,NA,NA,NA
321,Bildersee Playground,Flatlands Ave btwn East 81 & East 82 St,Yes,Not Available,NA,NA,NA,NA,,NA,"Bildersee Playground, E 81st St, Brooklyn, NY 11236, USA",NA
322,Bill Brown Memorial Playground,"Bedford Ave, Ave X to Ave Y, E 24 St",Yes,No,NA,NA,NA,NA,,NA,NA,"Bedford, TX, USA"
323,Breukelen Playground,Louisiana & Flatlands Ave,Yes,No,52.1710222,5.001329,30.9842977,-91.9623327,,2054.342387,"3621 Breukelen, Netherlands","Louisiana, USA"
324,Brevoort Playground,Ralph Ave & Chauncy St,Yes,Not Available,40.6805498,-73.9225717,40.634696,-73.9188247,1,0.000171814,"Brevoort Playground, Ralph Ave, Brooklyn, NY 11233, USA","Ralph Ave, Brooklyn, NY, USA"
325,Bridge Park 2,Bridge & Prospect St,Yes,No,30.8114215,73.4536994,39.2187286,-79.9130054,,1289.400986,"Bridge, Okara, Pakistan","Co Rte 2/2, Moatsville, WV 26405, USA"
326,Brownsville Playground,Linden Blvd & Hegeman Ave,Yes,No,25.8159583,-80.2299094,40.6578786,-73.896138,2,94.00533032,"Playground, NW 21st Ave, Miami, FL 33142, USA","Linden Blvd, New York, NY, USA"
327,Bushwick Inlet Park,Kent Ave. btwn N 9 St. and N 12 St,Yes,Not Available,40.7222436,-73.9615144,NA,NA,1,NA,"Bushwick Inlet Park, Brooklyn, NY 11211, USA",NA
328,Bushwick Playground & Pool,Flushing & Bushwick Ave btwn Garden & Beaver,Yes,Not Available,40.7018076,-73.9394723,40.7674987,-73.833079,1,0.006989093,"Bushwick Playground, 817 Flushing Ave, Brooklyn, NY 11206, USA","Flushing, Queens, NY, USA"
329,Cadman Plaza & Brooklyn War Memorial,"Tillary, Cadman Plaza West, Cadman Plaza East, Prospect St",Yes,No,40.6982776,-73.9914896,NA,NA,1,NA,"Cadman Plaza W, Brooklyn, NY 11201, USA",NA
330,Campiz Playground,Hope St & Metropolitan Ave,Yes,No,40.713785,-73.9541673,41.6957277,-71.2795162,1,2.626354123,"Jaime Campiz Playground, Marcy Ave, Brooklyn, NY 11211, USA","Hope St, Bristol, RI, USA"
331,Canarsie Park,"Paerdegat Ave, Seaview Ave, East 93rd St, Skidmore Ave",Yes,No,40.6303632,-73.8926247,NA,NA,1,NA,"Canarsie Park, Brooklyn, NY 11236, USA",NA
332,Carroll Park,Court & Smith St,Yes,Not Available,35.1732972,-88.6011376,41.7172937,21.7828041,,722.3521281,"Carroll Park, Selmer, TN 38375, USA","Court, Blagoj Gjorev 53, Veles 1400, Macedonia (FYROM)"
333,Carver Playground,Ralph Ave & Sumpter St,Yes,No,40.6802881,-73.9207346,40.634696,-73.9188247,1,8.71E-05,"Carver Playground, Marion St, Brooklyn, NY 11233, USA","Ralph Ave, Brooklyn, NY, USA"
334,Century Playground,Brighton Beach Ave & West 2 St,Yes,Not Available,40.5767757,-73.970055,40.5775615,-73.961412,1,6.79E-06,"Century Playground, W Brighton Ave, Brooklyn, NY 11224, USA","Brighton Beach Ave, Brooklyn, NY 11235, USA"
335,Chester Playground,"Chester Street, Sutter Ave",Yes,No,40.6687403,-73.9118244,36.2198886,-115.1881888,1,183.6324239,"Chester Playground, Chester St, Brooklyn, NY 11212, USA","Sutter Creek Ave, North Las Vegas, NV 89032, USA"
336,City Line Park,Atlantic & Fountain Aves,Yes,No,45.9826113,-93.7893675,41.4036007,-95.0138776,,5.607044728,"City Line, Minnesota, USA","Atlantic, IA 50022, USA"
337,Col. David Marcus Memorial Playground,"Coean Parkway, Ave P, East 3 St",Yes,Not Available,NA,NA,37.6857796,-122.4842166,,NA,NA,"3 Ocean Grove Ave, Daly City, CA 94015, USA"
338,Columbus Park,"Adams, Johnson, Fulton, Joralemon St",Yes,No,NA,NA,NA,NA,,NA,"Columbus Park, Westerly, RI 02891, USA",NA
339,Com. John Barry Park & Playground,South of Flushing Ave,Yes,No,NA,NA,NA,NA,,NA,NA,"Flushing Ave, New York, USA"
340,Com. John Barry Park & Playground (Athletic Area),South of Flushing Ave,Yes,No,NA,NA,NA,NA,,NA,NA,NA
341,Comm. Eugene S. Sarsfield Playground,"East 38 St & Ryder St, Ave M",Yes,Not Available,NA,NA,NA,NA,,NA,NA,"E 38th St, Indianapolis, IN, USA"
342,Coney Island,Brighton 2nd,Yes,Yes,40.5749261,-73.9859414,39.985252,-104.8202615,,18.18219995,"Coney Island, Brooklyn, NY, USA","2nd Pl, Brighton, CO 80601, USA"
343,Coney Island,W 27 St.,Yes,Yes,40.5749261,-73.9859414,36.8756394,-76.2967379,,8.548298759,"Coney Island, Brooklyn, NY, USA","W 27th St, Norfolk, VA, USA"
344,Coney Island,W 33 St.,Yes,Yes,40.5749261,-73.9859414,34.7527994,-96.7231451,,132.3788807,"Coney Island, Brooklyn, NY, USA","W 33rd St, Ada, OK 74820, USA"
345,Coney Island Beach,Corbin Pl to Coney Island Ave,Yes,No,40.5721302,-73.9793298,NA,NA,,NA,"Coney Island Beach, Brooklyn, NY, USA",NA
346,Coney Island Beach,Stillwell Ave,Yes,Yes,40.5721302,-73.9793298,40.5905519,-73.9840847,,8.76E-05,"Coney Island Beach, Brooklyn, NY, USA","Stillwell Ave, Brooklyn, NY, USA"
347,Coney Island Beach,West 16th St.,Yes,Yes,NA,NA,NA,NA,,NA,"Coney Island Beach, Brooklyn, NY, USA","W 16th St, Yuma, AZ 85364, USA"
348,Coney Island Beach,W 22 St,Yes,Yes,NA,NA,NA,NA,,NA,"Coney Island Beach, Brooklyn, NY, USA","22nd St, York Township, IL, USA"
349,Cooper Park,"Sharon, Olive St, Maspeth & Morgan Aves",Yes,Not Available,40.700424,-89.5385254,40.714593,-73.938755,2,0.221033147,"Cooper Park Rd, East Peoria, IL 61611, USA","Olive St, Brooklyn, NY 11211, USA"
350,Cypress Hills Park,Blake & Euclid Ave,Yes,No,29.9965496,-95.7370784,31.8970099,-92.2413776,,6.643440591,"Hillside Park Way, Cypress, TX 77433, USA","Blake, Olla, LA 71465, USA"
351,Digilio Playground,McDonald Ave & Ave F,Yes,No,NA,NA,40.6235909,-73.9758061,2,NA,NA,"McDonald Ave, Brooklyn, NY, USA"
352,Dimattina Playground,Hicks & Rapelye St,Yes,No,40.6803115,-74.0022113,31.184905,-93.0159912,1,180.5435693,"Dimattina Playground, Brooklyn, NY 11231, USA","Hicks, LA 71446, USA"
353,Dr. Martin Luther King Jr. Park,"Dumont, Blake, Miller Ave",Yes,No,37.9444922,-121.2577254,NA,NA,,NA,"Dr M.L.K. Jr Blvd, Stockton, CA, USA",NA
354,Dr. Richard Greene Playground,Mother Gaston Blvd (Stone Ave) & Sutter Ave,Yes,No,NA,NA,NA,NA,,NA,NA,NA
355,Dyker Beach Park,"Shore Prkwy, 86 St, 7 to 14 Ave",Yes,No,40.6120808,-74.0140275,NA,NA,1,NA,"Dyker Beach Park, 86 St Belt Parkway, Brooklyn, NY 11228, USA",NA
356,Edmonds Playground,"DeKalb Ave, Adelphi St",Yes,No,40.6893545,-73.9714325,41.9294736,-88.7503647,1,18.3276361,"Edmonds Playground, Dekalb Ave, Brooklyn, NY 11238, USA","DeKalb, IL, USA"
357,Ethan Allen Playground,New Jersey Ave & Vermont St/Worthman,Yes,Not Available,40.6557721,-73.8870206,38.9855357,-74.8226626,1,1.562743326,NA,"New Jersey Ave, New Jersey 08260, USA"
358,Fermi Playground,Troutman St & Central Ave,Yes,No,40.7004831,-73.9285422,NA,NA,1,NA,"Fermi Playground, Troutman St, Brooklyn, NY 11221, USA","Troutman St, New York, USA"
359,Fort Greene Park,Myrtle Ave & St. Edwards Plaza,Yes,Yes,NA,NA,NA,NA,,NA,"Fort Greene Park, Washington Park, Brooklyn, NY 11205, USA","Myrtle Ave, Boonton, NJ 07005, USA"
360,Fox Playground,"Ave H, East 54 to E 55 St",Yes,Yes,40.6325221,-73.9240414,-10.3214578,-48.3234738,1,1304.450807,"Fox Playground, Avenue H, Brooklyn, NY 11234, USA","Av. H, 54 - Jardim Aureny III (Taquaralto), Palmas - TO, Brazil"
361,Friends Field,"Ave L, East 4 St, McDonald Ave, Ave M",Yes,Not Available,51.9728951,0.7775804,NA,NA,,NA,"Friends Field, Bures, Suffolk CO8 5LH, UK",NA
362,Fulton Park,"Fulton, Chauncey St, Stuyvesant, Lewis Ave",Yes,No,45.4712589,-122.679664,40.1905499,-74.7805328,,252.9413732,"Fulton Park, Portland, OR 97219, USA","Lewis Ave, Morrisville, PA 19067, USA"
363,Galapo Playground,"Bedford Ave, Gravesend Neck Rd",Yes,No,40.5979212,-73.9467281,40.6081026,-73.9481894,1,1.49E-05,"Galapo Playground, Gravesend Neck Rd, Brooklyn, NY 11229, USA","Bedford Ave, Brooklyn, NY, USA"
364,Garibaldi Playground,82 to 83 St at 18 Ave,Yes,Not Available,40.6090667,-74.0001737,13.7873829,100.6456852,1,4684.296004,"Garibaldi Playground, 18th Ave, Brooklyn, NY 11214, USA","Soi Nawamin 83 - Soi 18, Khwaeng Nawamin, Khet Bueng Kum, Krung Thep Maha Nakhon 10230, Thailand"
365,Glenwood Playground,Ralph Ave & Farragut Rd,Yes,Yes,NA,NA,NA,NA,,NA,"Glenwood Playground, Glenwood Rd, Brooklyn, NY 11234, USA","Ralph Ave, Brooklyn, NY, USA"
366,Gowanus Playground,Wyckoff St btwn Bond & Hoyt St,Yes,No,NA,NA,NA,NA,,NA,"Thomas Greene Playground, Nevins St, Brooklyn, NY 11217, USA","Wyckoff, NJ, USA"
367,Gravesend Park,18 Ave & 56 St,Yes,No,NA,NA,NA,NA,,NA,"Gravesend Park, 18th Ave. and 19th Avenue, Brooklyn, NY 11204, USA","18th Ave, North Dakota, USA"
368,Greene Playground,Greene & Washington Ave,Yes,No,NA,NA,NA,NA,,NA,"Greene Playground, Greene Ave, Brooklyn, NY 11238, USA","Greene County, OH, USA"
369,Greenwood Playground,"Fort Hamilton Pkwy, Greenwood, East 5 St",Yes,Not Available,40.6502804,-73.9764294,40.6094454,-74.0285434,1,0.002128075,"Greenwood Playground, Brooklyn, NY 11218, USA","Fort Hamilton, Brooklyn, NY, USA"
370,Hamilton-Metz Field,"Albany, E New York, Lefferts Ave",Yes,No,41.6148149,-84.8840446,40.6626057,-73.9467655,2,10.41457778,"E Metz Rd, Hamilton, IN 46742, USA","Lefferts Ave, Brooklyn, NY, USA"
371,Harry Maze Memorial Park,Ave D btwn East 56 & East 57 St,Yes,No,NA,NA,51.732512,-1.2171341,,NA,NA,"56 Between Towns Rd, Oxford, Oxfordshire OX4 3LR, UK"
372,Hattie Carthan Playground,East of Marcy St,Yes,No,40.6857428,-73.9452692,35.6885097,-105.9352118,1,159.8612,"Hattie Carthan Playground, 308 Monroe St, Brooklyn, NY 11216, USA","E Marcy St, Santa Fe, NM 87501, USA"
373,Heckscher Playground,Grove St to Linden St,Yes,Yes,40.7684844,-73.9772017,NA,NA,1,NA,"Heckscher Playground, 65th St Transverse, New York, NY 10019, USA",NA
374,Herbert Von King Park,"Greene, Marcy, Lafayette, Tompkins Ave",Yes,Yes,40.689612,-73.946732,NA,NA,1,NA,"Herbert Von King Park, 670 Lafayette Ave, Brooklyn, NY 11216, USA",NA
375,Herman Dolgon Playground,Ave V & Hostrand Ave,Yes,No,40.5982571,-73.9398397,38.5656096,-97.9590939,1,48.822677,NA,NA
376,J.J. Byrne Memorial Park,"3 to 4 St, 4 to 5 Ave",Yes,No,40.8627738,-73.3255504,26.1616275,32.7080971,1,1558.816165,NA,NA
377,Jackie Robinson Park,Malcolm X Blvd btwn Chauncey and Marion St,Yes,Yes,40.824293,-73.9421716,NA,NA,1,NA,"Jackie Robinson Park, 85 Bradhurst Ave, New York, NY 10030, USA",NA
378,Jackie Robinson Playground,"Sullivan Place & Franklin Ave, Montgomery St",Yes,No,40.6656832,-73.9593103,40.6643685,-73.9560187,1,4.33E-06,"Jackie Robinson Playground, Montgomery St, Brooklyn, NY 11225, USA","Sullivan Pl, Brooklyn, NY 11225, USA"
379,Jesse Owens Playground,John J. Carty Park,Yes,Not Available,40.6912345,-73.9324918,40.6132391,-74.0301958,1,0.007620463,"Jesse Owens Playground, Stuyvesant Ave, Brooklyn, NY 11221, USA","John J. Carty Park, Fort Hamilton Pkwy, Brooklyn, NY 11209, USA"
380,John Paul Jones Park,"Shore Prkwy, Fort Hamilton Parkway, 101 St",Yes,Not Available,40.6110485,-74.033835,NA,NA,1,NA,"John Paul Jones Park, 101st St, Brooklyn, NY 11209, USA",NA
381,Kaiser Park,"South of Gravesend Bay, Southeast of Path, Northeast of Neptune Ave",Yes,No,40.5789776,-73.9970482,NA,NA,1,NA,"Kaiser Park, Neptune Ave, Brooklyn, NY 11224, USA",NA
382,Kennedy King Playground,East 93 St & Lenox Rd,Yes,No,40.6585484,-73.9222043,41.4599879,-81.6214291,1,6.170462874,"Kennedy King Playground, E 93rd St, Brooklyn, NY 11212, USA","E 93rd St, Cleveland, OH, USA"
383,La Guardia Playground West,"Havemeyer, Roebling St & South 4",Yes,Not Available,NA,NA,NA,NA,,NA,"La Guardia Playground, S 4th St, Brooklyn, NY 11211, USA",NA
384,Leif Ericson Park & Square,CLF behind CS adjacent to 5th Ave to 7th ave (highway) btwn 66th and 67th St,Yes,No,NA,NA,NA,NA,,NA,NA,NA
385,Lincoln Terrace Park,Buffalo Ave/Protal St/New York Ave,Yes,No,NA,NA,NA,NA,,NA,"Park Blvd, Lincoln, NE, USA","Buffalo, NY, USA"
386,Lincoln Terrace Park (Arthur S. Somers Playground),"East New York, Rochester Ave, Eastern Prkwy, Buffalo Ave",Yes,No,NA,NA,NA,NA,,NA,NA,"East Ave, Rochester, NY, USA"
387,Linden Park,"Stanley Ave, Linden Blvd",Yes,No,38.9051265,-94.640237,53.7463657,-1.5072385,,1382.209108,"Linden, Kansas 66209, USA","Linden Ct, Rothwell, Leeds, West Yorkshire LS26 0GF, UK"
388,Lindower Park,"Mill & Strickland Ave, 60 St",Yes,Not Available,40.6123076,-73.9113651,44.1024575,-85.1474375,1,39.21557696,"Lindower Park, Strickland Ave, Brooklyn, NY 11234, USA","Mill, Marion, MI 49665, USA"
